Time [s],Channel 3
20.499325200,1
20.505246000,0
20.505263400,1
20.505272100,0
20.505306800,1
20.505315500,0
20.505324200,1
20.511245900,0
20.511254600,1
20.511263300,0
20.511289400,1
20.511306800,0
20.511324100,1
20.517245900,0
20.517271900,1
20.517280600,0
20.517298000,1
20.517315400,0
20.517324100,1
20.523245800,0
20.523254500,1
20.523271900,0
20.523306600,1
20.523315300,0
20.523324000,1
20.529245700,0
20.529263100,1
20.529271800,0
20.529306500,1
20.529315200,0
20.529323900,1
20.535245600,0
20.535254300,1
20.535263000,0
20.535271700,1
20.535280400,0
20.535289100,1
20.535306400,0
20.535323800,1
20.541245500,0
20.541262900,1
20.541271600,0
20.541297700,1
20.541315000,0
20.541323700,1
20.547245500,0
20.547254100,1
20.547271500,0
20.547288900,1
20.547306300,0
20.547323600,1
20.553245400,0
20.553262800,1
20.553280100,0
20.553288800,1
20.553297500,0
20.553306200,1
20.553314900,0
20.553323600,1
20.559245300,0
20.559254000,1
20.559262700,0
20.559280000,1
20.559314800,0
20.559323500,1
20.565245200,0
20.565253900,1
20.565262600,0
20.565280000,1
20.565288700,0
20.565306000,1
20.565314700,0
20.565323400,1
20.571245100,0
20.571279900,1
20.571288600,0
20.571305900,1
20.571314600,0
20.571323300,1
20.577245100,0
20.577262400,1
20.577288500,0
20.577305900,1
20.577314600,0
20.577323200,1
20.583245000,0
20.583253700,1
20.583262400,0
20.583271000,1
20.583279700,0
20.583288400,1
20.583305800,0
20.583323200,1
20.589244900,0
20.589253600,1
20.589271000,0
20.589297000,1
20.589314400,0
20.589323100,1
20.595244800,0
20.595253500,1
20.595270900,0
20.595288200,1
20.595305600,0
20.595323000,1
20.601244700,0
20.601262100,1
20.601270800,0
20.601288200,1
20.601296900,0
20.601305500,1
20.601314200,0
20.601322900,1
20.607244700,0
20.607270700,1
20.607288100,0
20.607296800,1
20.607314100,0
20.607322800,1
20.613244600,0
20.613261900,1
20.613270600,0
20.613296700,1
20.613314100,0
20.613322800,1
20.619244500,0
20.619253200,1
20.619270600,0
20.619287900,1
20.619296600,0
20.619305300,1
20.619314000,0
20.619322700,1
20.625244400,0
20.625261800,1
20.625270500,0
20.625305200,1
20.625313900,0
20.625322600,1
20.631244300,0
20.631253000,1
20.631279100,0
20.631287800,1
20.631313800,0
20.631322500,1
20.637246100,0
20.637254800,1
20.637272100,0
20.637298200,1
20.637315600,0
20.637324300,1
20.643245900,0
20.643254500,1
20.643263200,0
20.643271900,1
20.643289300,0
20.643298000,1
20.643315400,0
20.643324000,1
20.649244000,0
20.649252700,1
20.649261400,0
20.649278800,1
20.649304900,0
20.649322200,1
20.655244000,0
20.655270100,1
20.655278800,0
20.655287500,1
