Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
6.695651000,0,0,0,0,0,0,0,0
6.695677000,0,0,0,1,0,0,0,0
6.695694000,0,0,0,0,0,0,0,0
6.695711000,0,0,0,1,0,0,0,0
6.695720000,0,0,0,0,0,0,0,0
6.695737000,0,0,0,1,0,0,0,0
6.695746000,0,0,0,0,0,0,0,0
6.695764000,0,0,0,1,0,0,0,0
6.695781000,0,0,0,0,0,0,0,0
6.695798000,0,0,0,1,0,0,0,0
6.695807000,0,0,0,0,0,0,0,0
6.695816000,0,0,0,1,0,0,0,0
6.695833000,0,0,0,0,0,0,0,0
6.695850000,0,0,0,1,0,0,0,0
6.695868000,0,0,0,0,0,0,0,0
6.695885000,0,0,0,1,0,0,0,0
6.695894000,0,0,0,0,0,0,0,0
6.695920000,0,0,0,1,0,0,0,0
6.695929000,0,0,0,0,0,0,0,0
6.695937000,0,0,0,1,0,0,0,0
6.695955000,0,0,0,0,0,0,0,0
6.695972000,0,0,0,1,0,0,0,0
6.695981000,0,0,0,0,0,0,0,0
6.695989000,0,0,0,1,0,0,0,0
6.695998000,0,0,0,0,0,0,0,0
6.696007000,0,0,0,1,0,0,0,0
6.696015000,0,0,0,0,0,0,0,0
6.696024000,0,0,0,1,0,0,0,0
6.696042000,0,0,0,0,0,0,0,0
6.696059000,0,0,0,1,0,0,0,0
6.696068000,0,0,0,0,0,0,0,0
6.696085000,0,0,0,1,0,0,0,0
6.696102000,0,0,0,0,0,0,0,0
6.696111000,0,0,0,1,0,0,0,0
6.696128000,0,0,0,0,0,0,0,0
6.696146000,0,0,0,1,0,0,0,0
6.696154000,0,0,0,0,0,0,0,0
6.696163000,0,0,0,1,0,0,0,0
6.696189000,0,0,0,0,0,0,0,0
6.696198000,0,0,0,1,0,0,0,0
6.696215000,0,0,0,0,0,0,0,0
6.696233000,0,0,0,1,0,0,0,0
6.696241000,0,0,0,0,0,0,0,0
6.696276000,0,0,0,1,0,0,0,0
6.696302000,0,0,0,0,0,0,0,0
6.696320000,0,0,0,1,0,0,0,0
6.696328000,0,0,0,0,0,0,0,0
6.696337000,0,0,0,1,0,0,0,0
6.696346000,0,0,0,0,0,0,0,0
6.696363000,0,0,0,1,0,0,0,0
6.696389000,0,0,0,0,0,0,0,0
6.696406000,0,0,0,1,0,0,0,0
6.923545000,0,0,0,0,0,0,0,0
6.923554000,0,0,0,1,0,0,0,0
6.923562000,0,0,0,0,0,0,0,0
6.923571000,0,0,0,1,0,0,0,0
6.923589000,0,0,0,0,0,0,0,0
6.923606000,0,0,0,1,0,0,0,0
6.923615000,0,0,0,0,0,0,0,0
6.923623000,0,0,0,1,0,0,0,0
6.923632000,0,0,0,0,0,0,0,0
6.923641000,0,0,0,1,0,0,0,0
6.923649000,0,0,0,0,0,0,0,0
6.923667000,0,0,0,1,0,0,0,0
6.923675000,0,0,0,0,0,0,0,0
6.923693000,0,0,0,1,0,0,0,0
6.923701000,0,0,0,0,0,0,0,0
6.923710000,0,0,0,1,0,0,0,0
6.923719000,0,0,0,0,0,0,0,0
6.923736000,0,0,0,1,0,0,0,0
6.923762000,0,0,0,0,0,0,0,0
6.923780000,0,0,0,1,0,0,0,0
6.923788000,0,0,0,0,0,0,0,0
6.923797000,0,0,0,1,0,0,0,0
6.923806000,0,0,0,0,0,0,0,0
6.923832000,0,0,0,1,0,0,0,0
6.923840000,0,0,0,0,0,0,0,0
6.923867000,0,0,0,1,0,0,0,0
6.923875000,0,0,0,0,0,0,0,0
6.923884000,0,0,0,1,0,0,0,0
6.923893000,0,0,0,0,0,0,0,0
6.923901000,0,0,0,1,0,0,0,0
6.923927000,0,0,0,0,0,0,0,0
6.923953000,0,0,0,1,0,0,0,0
6.923962000,0,0,0,0,0,0,0,0
6.923971000,0,0,0,1,0,0,0,0
6.923979000,0,0,0,0,0,0,0,0
6.923988000,0,0,0,1,0,0,0,0
6.923997000,0,0,0,0,0,0,0,0
6.924040000,0,0,0,1,0,0,0,0
6.924049000,0,0,0,0,0,0,0,0
6.924058000,0,0,0,1,0,0,0,0
6.924066000,0,0,0,0,0,0,0,0
6.924084000,0,0,0,1,0,0,0,0
6.924092000,0,0,0,0,0,0,0,0
6.924110000,0,0,0,1,0,0,0,0
6.924118000,0,0,0,0,0,0,0,0
6.924127000,0,0,0,1,0,0,0,0
6.924136000,0,0,0,0,0,0,0,0
6.924145000,0,0,0,1,0,0,0,0
6.924153000,0,0,0,0,0,0,0,0
6.924179000,0,0,0,1,0,0,0,0
6.924188000,0,0,0,0,0,0,0,0
6.924214000,0,0,0,1,0,0,0,0
6.924223000,0,0,0,0,0,0,0,0
6.924231000,0,0,0,1,0,0,0,0
6.924240000,0,0,0,0,0,0,0,0
6.924249000,0,0,0,1,0,0,0,0
6.924257000,0,0,0,0,0,0,0,0
6.924266000,0,0,0,1,0,0,0,0
6.924284000,0,0,0,0,0,0,0,0
6.924292000,0,0,0,1,0,0,0,0
6.924301000,0,0,0,0,0,0,0,0
6.924318000,0,0,0,1,0,0,0,0
6.924327000,0,0,0,0,0,0,0,0
6.924336000,0,0,0,1,0,0,0,0
6.924362000,0,0,0,0,0,0,0,0
6.924388000,0,0,0,1,0,0,0,0
6.924396000,0,0,0,0,0,0,0,0
6.924405000,0,0,0,1,0,0,0,0
6.924414000,0,0,0,0,0,0,0,0
6.924457000,0,0,0,1,0,0,0,0
6.924466000,0,0,0,0,0,0,0,0
6.924475000,0,0,0,1,0,0,0,0
6.924483000,0,0,0,0,0,0,0,0
6.924492000,0,0,0,1,0,0,0,0
6.924501000,0,0,0,0,0,0,0,0
6.924509000,0,0,0,1,0,0,0,0
6.924518000,0,0,0,0,0,0,0,0
6.924535000,0,0,0,1,0,0,0,0
6.924544000,0,0,0,0,0,0,0,0
